district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Bang Khun Thian,1742108400,13.6703,100.4578,310.31,317.31,1008,48,8,4.93,169,Clear,clear sky,34.87
Nong Khaem,1741863600,13.7153,100.3792,307.56,313.96,1006,54,86,5.33,170,Clouds,overcast clouds,18.71
Nong Khaem,1742274000,13.7153,100.3792,307.04,313.44,1012,56,43,3.01,138,Clouds,scattered clouds,117.44
Bang Phlat,1742295600,13.7951,100.5015,309.09,315.26,1008,48,20,4.12,110,Clouds,few clouds,43.04
Bang Sue,1741917600,13.8009,100.5297,305.87,310.03,1012,54,100,3.16,178,Clouds,overcast clouds,89.8
Khlong Toei,1741845600,13.7126,100.5582,307.94,314.94,1008,56,92,4.77,187,Clouds,overcast clouds,32.88
Khlong Toei,1741863600,13.7126,100.5582,307.07,313.14,1006,55,90,5.09,176,Clouds,overcast clouds,38.5
Khlong Toei,1742076000,13.7126,100.5582,301.11,304.56,1009,76,100,3.54,184,Clouds,overcast clouds,34.34
Khlong Toei,1742212800,13.7126,100.5582,305.78,312.43,1009,62,85,5.29,161,Clouds,overcast clouds,27.55
Chom Thong,1742054400,13.6853,100.4674,302.13,306.02,1010,71,65,4.97,193,Rain,moderate rain,8.91
Chom Thong,1742061600,13.6853,100.4674,302.13,306.4,1010,73,77,4.49,189,Clouds,broken clouds,8.73
Don Mueang,1742378400,13.9125,100.5989,308.78,312.6,1010,43,18,2.78,70,Clouds,few clouds,43.32
Ratchathewi,1742166000,13.7547,100.5342,300.33,302.79,1009,75,26,3.2,148,Clouds,scattered clouds,87.0
Ratchathewi,1742346000,13.7547,100.5342,301.58,302.42,1016,53,12,5.13,83,Clouds,few clouds,107.76
Lat Phrao,1742367600,13.8078,100.5701,308.95,312.59,1013,42,16,3.2,60,Clouds,few clouds,46.17
Watthana,1741816800,13.7369,100.5847,302.09,306.9,1008,76,46,3.71,186,Clouds,scattered clouds,51.59
Watthana,1742018400,13.7369,100.5847,308.63,315.63,1010,53,36,5.05,188,Clouds,scattered clouds,59.41
