district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Phra Nakhon,1741874400,13.7563,100.5018,302.47,309.47,1010,94,86,6.43,184,Clouds,overcast clouds,49.42
Phra Nakhon,1742061600,13.7563,100.5018,302.09,306.12,1010,72,79,4.52,191,Clouds,broken clouds,31.97
Bang Khen,1741874400,13.8644,100.5843,305.54,312.5,1010,64,91,6.28,186,Clouds,overcast clouds,49.42
Bang Khen,1742007600,13.8644,100.5843,307.49,314.49,1012,58,28,3.85,187,Clouds,scattered clouds,110.33
Bang Khen,1742234400,13.8644,100.5843,302.59,307.96,1011,75,20,3.6,180,Clouds,few clouds,51.64
Bang Kapi,1742331600,13.7554,100.6309,302.33,303.58,1012,54,53,4.06,90,Clouds,broken clouds,64.33
Bang Kapi,1742396400,13.7554,100.6309,303.43,303.84,1016,45,100,5.51,84,Clouds,overcast clouds,59.04
Pom Prap Sattru Phai,1742065200,13.7504,100.5097,301.2,304.62,1009,75,100,4.53,192,Clouds,overcast clouds,31.22
Lat Krabang,1741953600,13.7262,100.7562,306.49,313.49,1011,74,5,5.09,188,Clear,clear sky,16.32
Lat Krabang,1742328000,13.7262,100.7562,301.96,303.44,1012,57,20,2.57,110,Clouds,few clouds,68.81
Bangkok Yai,1742083200,13.7314,100.4806,301.13,304.6,1011,76,98,3.05,179,Clouds,overcast clouds,24.73
Huai Khwang,1742202000,13.7788,100.5759,308.72,315.64,1008,51,100,4.86,186,Clouds,overcast clouds,35.08
Huai Khwang,1742295600,13.7788,100.5759,309.05,315.59,1008,49,62,3.31,236,Clouds,broken clouds,43.04
Khlong San,1741939200,13.7348,100.5042,308.09,313.68,1008,50,50,4.94,184,Clouds,scattered clouds,24.18
Bangkok Noi,1741896000,13.7634,100.4735,301.27,304.33,1009,72,60,3.55,187,Clouds,broken clouds,37.29
Bangkok Noi,1742047200,13.7634,100.4735,303.13,307.44,1010,67,51,4.64,177,Clouds,broken clouds,21.72
Bangkok Noi,1742212800,13.7634,100.4735,305.43,310.57,1009,59,83,5.55,162,Clouds,broken clouds,27.55
Bang Khun Thian,1741993200,13.6703,100.4578,300.13,302.4,1010,75,11,3.76,179,Clouds,few clouds,6.28
Nong Khaem,1742133600,13.7153,100.3792,303.71,309.05,1010,68,33,5.07,163,Clouds,scattered clouds,50.35
Nong Khaem,1742266800,13.7153,100.3792,306.48,312.42,1014,57,37,3.17,127,Rain,light rain,109.17
Nong Khaem,1742277600,13.7153,100.3792,309.26,316.26,1011,52,48,2.88,174,Clouds,scattered clouds,112.8
Rat Burana,1742076000,13.6865,100.4925,301.13,304.75,1009,77,100,3.65,183,Clouds,overcast clouds,6.91
Din Daeng,1742198400,13.7663,100.5562,307.85,314.29,1008,53,100,5.49,192,Clouds,overcast clouds,44.36
Bueng Kum,1741827600,13.7895,100.6558,302.63,309.63,1011,91,40,3.6,100,Clouds,scattered clouds,73.25
Bueng Kum,1742202000,13.7895,100.6558,308.54,313.57,1007,47,40,4.63,190,Clouds,scattered clouds,27.77
Bang Sue,1741896000,13.8009,100.5297,301.33,304.31,1009,71,58,3.44,188,Clouds,broken clouds,60.05
Suan Luang,1741806000,13.7212,100.6406,302.12,306.97,1008,76,15,4.95,197,Clouds,few clouds,39.42
Suan Luang,1742198400,13.7212,100.6406,307.41,311.43,1008,48,100,5.71,192,Clouds,overcast clouds,33.66
Chom Thong,1741978800,13.6853,100.4674,301.13,304.18,1009,73,3,4.81,184,Clear,clear sky,7.8
Ratchathewi,1742212800,13.7547,100.5342,305.78,312.43,1009,62,85,5.29,161,Clouds,overcast clouds,27.55
Watthana,1741960800,13.7369,100.5847,302.09,305.21,1011,67,25,5.51,184,Clouds,scattered clouds,47.78
Watthana,1742137200,13.7369,100.5847,303.09,306.69,1010,64,33,4.65,190,Clouds,scattered clouds,69.33
Sai Mai,1742173200,13.9248,100.6385,300.51,304.3,1011,85,20,3.6,110,Clouds,few clouds,19.05
Wang Thonglang,1742306400,13.7889,100.612,304.8,310.6,1011,64,63,4.64,179,Clouds,broken clouds,49.4
Phra Nakhon,1742119200,13.7563,100.5018,309.86,316.86,1006,50,36,6.28,159,Clouds,scattered clouds,44.36
Dusit,1742018400,13.7842,100.5117,308.63,315.63,1010,53,36,5.05,188,Clouds,scattered clouds,59.41
Dusit,1742040000,13.7842,100.5117,305.86,312.86,1009,69,81,5.31,180,Clouds,broken clouds,44.68
Bang Rak,1741960800,13.7259,100.5283,302.09,305.21,1011,67,25,5.51,184,Clouds,scattered clouds,47.78
Bang Khen,1741910400,13.8644,100.5843,302.04,309.04,1011,99,92,2.55,183,Clouds,overcast clouds,70.76
Bang Khen,1742302800,13.8644,100.5843,306.41,312.25,1010,57,20,2.57,110,Clouds,few clouds,40.03
Bang Khen,1742310000,13.8644,100.5843,304.28,311.28,1012,71,20,4.12,180,Clouds,few clouds,63.48
Pathum Wan,1742184000,13.7445,100.5342,307.14,314.14,1012,60,9,3.76,152,Clear,clear sky,43.57
Pom Prap Sattru Phai,1741845600,13.7504,100.5097,307.94,314.94,1008,56,92,4.77,187,Clouds,overcast clouds,32.88
Phra Khanong,1741874400,13.7088,100.6022,300.12,301.96,1010,70,84,6.86,183,Clouds,broken clouds,49.42
Min Buri,1741838400,13.8053,100.755,305.36,312.36,1011,83,75,3.6,120,Rain,light rain,13.36
Min Buri,1742133600,13.8053,100.755,303.3,307.36,1010,65,20,4.63,190,Clouds,few clouds,34.88
Lat Krabang,1742112000,13.7262,100.7562,309.74,316.74,1006,68,40,5.14,210,Clouds,scattered clouds,63.03
Lat Krabang,1742392800,13.7262,100.7562,304.94,306.68,1015,48,20,3.6,60,Clouds,few clouds,55.41
Yannawa,1741867200,13.6896,100.5369,301.69,304.28,1008,66,81,5.69,175,Rain,light rain,11.51
Samphanthawong,1741824000,13.7408,100.5137,301.88,306.19,1009,75,64,2.88,195,Clouds,broken clouds,68.69
Samphanthawong,1741885200,13.7408,100.5137,301.91,305.19,1010,69,41,4.69,196,Clouds,scattered clouds,51.04
Phaya Thai,1742191200,13.7719,100.5385,308.21,315.19,1010,53,14,4.39,180,Clouds,few clouds,52.68
Bangkok Yai,1742205600,13.7314,100.4806,307.13,311.5,1008,50,97,4.05,181,Clouds,overcast clouds,29.25
Huai Khwang,1742126400,13.7788,100.5759,305.99,309.99,1008,53,42,4.45,113,Clouds,scattered clouds,63.5
Huai Khwang,1742130000,13.7788,100.5759,302.73,308.09,1009,74,16,4.83,126,Clouds,few clouds,82.85
Bangkok Noi,1742356800,13.7634,100.4735,303.9,304.33,1016,44,11,4.64,72,Clouds,few clouds,121.16
Bang Khun Thian,1742248800,13.6703,100.4578,301.13,304.46,1010,75,40,2.45,174,Clouds,scattered clouds,76.02
Nong Khaem,1742295600,13.7153,100.3792,309.26,315.68,1008,48,56,2.5,224,Clouds,broken clouds,48.42
Bang Phlat,1742342400,13.7951,100.5015,301.12,302.24,1015,57,20,2.06,90,Clouds,few clouds,103.19
Din Daeng,1742004000,13.7663,100.5562,302.25,304.51,1012,61,33,4.15,183,Clouds,scattered clouds,68.51
Bueng Kum,1742025600,13.7895,100.6558,308.85,315.85,1008,68,40,3.6,250,Clouds,scattered clouds,64.6
Bueng Kum,1742299200,13.7895,100.6558,307.7,313.15,1009,51,20,3.6,100,Clouds,few clouds,40.91
Sathon,1741989600,13.7211,100.5289,301.09,304.1,1009,73,9,3.9,181,Clear,clear sky,35.2
Sathon,1742025600,13.7211,100.5289,309.05,316.05,1008,51,84,5.09,190,Clouds,broken clouds,64.6
Sathon,1742216400,13.7211,100.5289,303.09,306.27,1010,62,6,5.35,160,Clear,clear sky,32.4
Chatuchak,1741795200,13.8166,100.5557,303.12,308.12,1009,70,20,3.6,200,Clouds,few clouds,36.13
Prawet,1741849200,13.7196,100.6698,308.08,315.08,1007,71,40,4.63,210,Clouds,scattered clouds,31.87
Prawet,1742083200,13.7196,100.6698,301.98,308.98,1011,93,20,2.57,190,Clouds,few clouds,53.42
Khlong Toei,1741852800,13.7126,100.5582,308.32,315.32,1007,54,79,5.14,186,Clouds,broken clouds,30.6
Don Mueang,1741953600,13.9125,100.5989,306.64,312.81,1010,57,20,4.12,190,Clouds,few clouds,42.25
Don Mueang,1742054400,13.9125,100.5989,302.12,307.59,1010,79,20,3.6,200,Rain,moderate rain,60.03
Don Mueang,1742320800,13.9125,100.5989,303.37,307.75,1012,66,20,3.6,150,Clouds,few clouds,81.05
Ratchathewi,1741939200,13.7547,100.5342,308.09,313.68,1008,50,50,4.94,184,Clouds,scattered clouds,24.18
Lat Phrao,1742324400,13.8078,100.5701,302.59,304.95,1012,60,20,2.06,120,Clouds,few clouds,83.56
Watthana,1741924800,13.7369,100.5847,306.98,311.85,1012,52,100,3.68,187,Clouds,overcast clouds,49.73
Watthana,1742220000,13.7369,100.5847,304.05,308.8,1011,64,8,5.01,179,Clear,clear sky,36.22
Khan Na Yao,1742212800,13.8159,100.6669,305.96,312.96,1009,71,20,5.66,180,Clouds,few clouds,43.69
Bang Rak,1742313600,13.7259,100.5283,304.05,309.07,1012,65,38,3.82,162,Clouds,scattered clouds,82.18
Pom Prap Sattru Phai,1742295600,13.7504,100.5097,309.05,315.59,1008,49,62,3.31,236,Clouds,broken clouds,43.04
Pom Prap Sattru Phai,1742342400,13.7504,100.5097,299.09,299.02,1015,49,54,4.1,80,Clouds,broken clouds,103.19
Lat Krabang,1742176800,13.7262,100.7562,302.72,309.72,1012,87,75,3.09,110,Clouds,broken clouds,54.3
Phaya Thai,1742025600,13.7719,100.5385,309.05,316.05,1008,51,84,5.09,190,Clouds,broken clouds,64.6
Phaya Thai,1742205600,13.7719,100.5385,306.99,310.55,1008,48,100,4.02,188,Clouds,overcast clouds,29.25
Thon Buri,1742245200,13.7229,100.4907,301.13,304.32,1010,74,27,2.77,181,Clouds,scattered clouds,56.36
Thon Buri,1742256000,13.7229,100.4907,300.13,302.4,1012,75,60,2.52,169,Clouds,broken clouds,136.12
Bangkok Yai,1742097600,13.7314,100.4806,308.55,315.21,1011,51,94,4.34,186,Clouds,overcast clouds,27.11
Huai Khwang,1741860000,13.7788,100.5759,307.55,313.94,1006,54,88,4.93,180,Clouds,overcast clouds,30.35
Khlong San,1741834800,13.7348,100.5042,305.51,312.51,1011,78,93,3.82,188,Clouds,overcast clouds,66.7
Khlong San,1741935600,13.7348,100.5042,308.65,314.62,1009,49,78,5.35,186,Clouds,broken clouds,25.4
Khlong San,1742155200,13.7348,100.5042,302.09,306.31,1008,73,12,4.33,180,Clouds,few clouds,50.2
Khlong San,1742198400,13.7348,100.5042,307.85,314.29,1008,53,100,5.49,192,Clouds,overcast clouds,44.36
Bangkok Noi,1741870800,13.7634,100.4735,302.6,305.88,1009,65,70,6.06,178,Rain,light rain,21.46
Bang Khun Thian,1742389200,13.6703,100.4578,304.34,305.13,1014,45,100,5.21,93,Clouds,overcast clouds,68.11
Phasi Charoen,1741906800,13.7214,100.4357,300.95,304.07,1010,75,84,2.68,191,Clouds,broken clouds,43.76
Phasi Charoen,1742104800,13.7214,100.4357,309.82,316.82,1009,48,58,4.5,175,Clouds,broken clouds,32.95
Rat Burana,1742108400,13.6865,100.4925,310.31,317.31,1008,48,8,4.93,169,Clear,clear sky,34.87
Bang Phlat,1741795200,13.7951,100.5015,303.13,308.14,1009,70,20,3.6,200,Clouds,few clouds,36.13
Bang Phlat,1741827600,13.7951,100.5015,301.13,305.67,1011,83,20,3.6,100,Clouds,few clouds,73.25
Bueng Kum,1742284800,13.7895,100.6558,309.36,316.36,1008,61,40,4.12,120,Clouds,scattered clouds,26.13
Bang Sue,1742342400,13.8009,100.5297,299.09,299.02,1015,49,54,4.1,80,Clouds,broken clouds,53.6
Chatuchak,1742310000,13.8166,100.5557,304.28,311.28,1012,71,20,4.12,180,Clouds,few clouds,63.48
Chatuchak,1742313600,13.8166,100.5557,303.37,308.99,1012,71,20,3.09,170,Clouds,few clouds,73.94
Khlong Toei,1741831200,13.7126,100.5582,302.12,304.13,1011,60,100,3.55,179,Clouds,overcast clouds,70.99
Khlong Toei,1742245200,13.7126,100.5582,301.1,304.26,1010,74,26,2.72,182,Clouds,scattered clouds,56.36
Suan Luang,1742302800,13.7212,100.6406,306.08,312.14,1011,59,80,4.99,182,Clouds,broken clouds,45.83
Don Mueang,1742209200,13.9125,100.5989,307.21,314.21,1008,59,20,3.6,180,Clouds,few clouds,44.85
Ratchathewi,1742382000,13.7547,100.5342,307.04,309.18,1010,43,35,3.75,94,Clouds,scattered clouds,68.41
Khan Na Yao,1741795200,13.8159,100.6669,303.13,308.14,1009,70,20,6.17,210,Clouds,few clouds,36.13
Wang Thonglang,1742295600,13.7889,100.612,309.05,315.59,1008,49,62,3.31,236,Clouds,broken clouds,33.86
Khlong Sam Wa,1742212800,13.8647,100.7351,305.96,312.96,1009,71,20,5.66,180,Clouds,few clouds,43.69
Phra Nakhon,1742223600,13.7563,100.5018,303.09,307.81,1012,69,8,5.04,187,Clear,clear sky,33.08
Dusit,1741816800,13.7842,100.5117,302.09,306.9,1008,76,46,3.71,186,Clouds,scattered clouds,51.59
Dusit,1742011200,13.7842,100.5117,307.51,314.51,1012,56,25,4.11,191,Clouds,scattered clouds,70.78
Dusit,1742313600,13.7842,100.5117,304.05,309.07,1012,65,38,3.82,162,Clouds,scattered clouds,82.18
Bang Rak,1741870800,13.7259,100.5283,302.56,309.56,1009,93,71,5.97,178,Clouds,broken clouds,46.83
Bang Rak,1742155200,13.7259,100.5283,302.09,306.31,1008,73,12,4.33,180,Clouds,few clouds,50.2
Pathum Wan,1741932000,13.7445,100.5342,307.53,312.75,1010,51,60,5.07,186,Clouds,broken clouds,28.3
Phra Khanong,1742058000,13.7088,100.6022,302.12,306.57,1010,74,82,5.1,188,Clouds,broken clouds,33.55
Min Buri,1742119200,13.8053,100.755,309.53,316.53,1006,62,20,5.14,190,Clouds,few clouds,83.39
Yannawa,1741906800,13.6896,100.5369,300.85,303.98,1010,76,83,2.74,192,Clouds,broken clouds,10.49
Thon Buri,1741863600,13.7229,100.4907,305.65,308.99,1006,52,89,5.15,175,Clouds,overcast clouds,18.71
Khlong San,1742050800,13.7348,100.5042,302.09,305.21,1010,67,60,4.45,193,Clouds,broken clouds,39.37
Phasi Charoen,1742310000,13.7214,100.4357,304.81,310.62,1012,64,41,3.75,172,Clouds,scattered clouds,83.98
Rat Burana,1741834800,13.6865,100.4925,307.23,312.06,1011,51,93,3.91,188,Clouds,overcast clouds,22.61
Rat Burana,1742140800,13.6865,100.4925,304.78,311.17,1010,66,35,5.07,190,Clouds,scattered clouds,60.1
Sathon,1742180400,13.7211,100.5289,306.03,313.03,1012,67,11,3.96,145,Clouds,few clouds,65.35
Bang Sue,1742374800,13.8009,100.5297,308.16,310.69,1010,41,13,3.62,80,Clouds,few clouds,44.13
Chatuchak,1741888800,13.8166,100.5557,302.59,309.59,1010,98,6,4.1,196,Clear,clear sky,51.6
Chatuchak,1742202000,13.8166,100.5557,308.77,314.91,1008,49,20,3.09,180,Clouds,few clouds,57.99
Chatuchak,1742335200,13.8166,100.5557,300.54,301.83,1013,61,20,2.57,110,Clouds,few clouds,67.24
Prawet,1742079600,13.7196,100.6698,301.98,308.98,1010,93,20,3.09,190,Clouds,few clouds,42.12
Prawet,1742140800,13.7196,100.6698,303.13,308.88,1010,73,20,5.14,180,Clouds,few clouds,65.65
Khlong Toei,1742335200,13.7126,100.5582,300.09,300.45,1013,49,58,3.92,83,Clouds,broken clouds,106.55
Suan Luang,1742382000,13.7212,100.6406,305.92,306.78,1010,41,39,4.29,108,Clouds,scattered clouds,47.68
Chom Thong,1741820400,13.6853,100.4674,302.13,307.2,1008,77,57,3.63,190,Clouds,broken clouds,19.29
Don Mueang,1741906800,13.9125,100.5989,302.04,309.04,1010,99,83,2.69,189,Clouds,broken clouds,46.73
Lat Phrao,1741867200,13.8078,100.5701,306.07,313.07,1007,68,85,6.2,184,Rain,light rain,43.34
Watthana,1742050800,13.7369,100.5847,302.09,305.21,1010,67,60,4.45,193,Clouds,broken clouds,39.37
Sai Mai,1741914000,13.9248,100.6385,302.56,309.55,1011,82,79,3.2,171,Clouds,broken clouds,53.69
Sai Mai,1742389200,13.9248,100.6385,302.98,304.1,1014,51,20,3.6,100,Clouds,few clouds,41.7
Khan Na Yao,1741903200,13.8159,100.6669,302.6,309.6,1010,99,77,2.55,180,Clouds,broken clouds,50.92
Saphan Sung,1741867200,13.761,100.6726,303.51,310.51,1008,87,75,7.2,50,Clouds,broken clouds,43.34
Khlong Sam Wa,1742097600,13.8647,100.7351,306.95,313.95,1011,71,20,4.63,210,Clouds,few clouds,77.22
Phra Nakhon,1742155200,13.7563,100.5018,302.09,306.31,1008,73,12,4.33,180,Clouds,few clouds,50.2
Bang Kapi,1741928400,13.7554,100.6309,307.53,313.12,1011,52,87,4.46,185,Clouds,overcast clouds,34.64
Bang Kapi,1741982400,13.7554,100.6309,301.11,304.0,1009,72,4,4.45,185,Clear,clear sky,31.09
Phra Khanong,1742274000,13.7088,100.6022,307.31,314.12,1012,56,41,3.04,151,Clouds,scattered clouds,53.19
Yannawa,1742011200,13.6896,100.5369,307.13,314.05,1012,57,23,4.55,192,Clouds,few clouds,10.31
Yannawa,1742396400,13.6896,100.5369,303.6,304.07,1016,45,100,5.83,76,Clouds,overcast clouds,72.77
Samphanthawong,1741910400,13.7408,100.5137,301.25,304.58,1011,74,100,2.36,185,Clouds,overcast clouds,70.76
Samphanthawong,1742212800,13.7408,100.5137,305.78,312.43,1009,62,85,5.29,161,Clouds,overcast clouds,27.55
Samphanthawong,1742234400,13.7408,100.5137,302.09,305.93,1011,71,9,3.44,195,Clear,clear sky,31.39
Phaya Thai,1741802400,13.7719,100.5385,302.09,306.12,1009,72,88,4.79,197,Clouds,overcast clouds,36.31
Bangkok Yai,1742137200,13.7314,100.4806,304.78,310.55,1010,64,36,4.92,191,Clouds,scattered clouds,69.33
Bangkok Yai,1742169600,13.7314,100.4806,303.59,308.76,1010,68,36,2.8,155,Clouds,scattered clouds,98.57
Bang Khun Thian,1742166000,13.6703,100.4578,303.61,308.81,1009,68,24,3.31,148,Clouds,few clouds,87.0
Bang Khun Thian,1742198400,13.6703,100.4578,307.54,313.52,1008,53,97,5.58,190,Clouds,overcast clouds,44.36
Bang Khun Thian,1742281200,13.6703,100.4578,310.56,317.56,1010,47,63,3.88,172,Clouds,broken clouds,61.5
Nong Khaem,1741816800,13.7153,100.3792,300.68,303.98,1008,79,41,3.49,177,Clouds,scattered clouds,35.74
Rat Burana,1741978800,13.6865,100.4925,301.13,304.18,1009,73,3,4.81,184,Clear,clear sky,7.8
Rat Burana,1742392800,13.6865,100.4925,303.83,304.39,1015,45,100,6.24,90,Clouds,overcast clouds,71.3
Din Daeng,1741888800,13.7663,100.5562,301.69,304.9,1010,70,6,4.19,196,Clear,clear sky,51.6
Sathon,1742245200,13.7211,100.5289,301.1,304.26,1010,74,26,2.72,182,Clouds,scattered clouds,56.36
Sathon,1742295600,13.7211,100.5289,309.05,315.59,1008,49,62,3.31,236,Clouds,broken clouds,43.04
Bang Sue,1742230800,13.8009,100.5297,302.09,305.93,1012,71,9,4.74,194,Clear,clear sky,43.78
Chom Thong,1742140800,13.6853,100.4674,304.78,311.17,1010,66,35,5.07,190,Clouds,scattered clouds,60.1
Sai Mai,1742040000,13.9248,100.6385,305.0,310.17,1009,61,20,4.12,190,Clouds,few clouds,113.13
Sai Mai,1742396400,13.9248,100.6385,302.15,302.57,1016,48,20,3.6,90,Clouds,few clouds,49.3
Saphan Sung,1742076000,13.761,100.6726,301.98,308.98,1009,91,20,4.12,190,Clouds,few clouds,34.34
Saphan Sung,1742144400,13.761,100.6726,303.13,309.14,1010,74,20,4.63,180,Clouds,few clouds,57.32
Khlong Sam Wa,1742072400,13.8647,100.7351,302.65,309.65,1009,90,20,4.12,200,Clouds,few clouds,15.17
Khlong Sam Wa,1742191200,13.8647,100.7351,308.69,315.69,1009,67,20,4.12,130,Clouds,few clouds,21.7
Chatuchak,1741820400,13.8166,100.5557,302.12,307.59,1008,79,20,2.57,160,Clouds,few clouds,58.07
Dusit,1741842000,13.7842,100.5117,306.42,310.92,1010,53,94,4.53,184,Rain,light rain,35.65
Bang Rak,1741863600,13.7259,100.5283,307.07,313.14,1006,55,90,5.09,176,Clouds,overcast clouds,38.5
Bang Khen,1741885200,13.8644,100.5843,302.59,309.59,1010,99,52,4.6,197,Clouds,broken clouds,51.04
Bang Khen,1741932000,13.8644,100.5843,307.56,312.82,1011,51,69,4.7,185,Clouds,broken clouds,28.3
Pom Prap Sattru Phai,1742288400,13.7504,100.5097,309.56,316.56,1008,49,59,2.33,216,Clouds,broken clouds,47.75
Samphanthawong,1741964400,13.7408,100.5137,302.09,305.39,1011,68,46,5.6,185,Clouds,scattered clouds,48.24
Samphanthawong,1741978800,13.7408,100.5137,301.22,304.23,1009,72,4,4.76,185,Clear,clear sky,30.32
Samphanthawong,1742216400,13.7408,100.5137,303.09,306.27,1010,62,6,5.35,160,Clear,clear sky,32.4
Phaya Thai,1741845600,13.7719,100.5385,307.94,314.94,1008,56,92,4.77,187,Clouds,overcast clouds,32.88
Phaya Thai,1742338800,13.7719,100.5385,300.09,300.51,1014,50,62,3.9,82,Clouds,broken clouds,100.6
Bangkok Yai,1741914000,13.7314,100.4806,304.8,308.08,1011,55,100,3.18,177,Clouds,overcast clouds,58.96
Bangkok Yai,1742011200,13.7314,100.4806,307.89,313.6,1012,51,24,4.28,190,Clouds,few clouds,19.56
Bangkok Yai,1742302800,13.7314,100.4806,305.96,311.84,1011,59,86,4.76,177,Clouds,overcast clouds,60.64
Huai Khwang,1741831200,13.7788,100.5759,302.12,304.13,1011,60,100,3.55,179,Clouds,overcast clouds,70.99
Khlong San,1742310000,13.7348,100.5042,304.66,310.25,1012,64,47,3.76,170,Clouds,scattered clouds,83.98
Taling Chan,1741910400,13.7702,100.4429,301.12,304.3,1011,74,95,2.47,184,Clouds,overcast clouds,46.69
Phasi Charoen,1742148000,13.7214,100.4357,304.21,310.31,1009,68,36,5.46,188,Clouds,scattered clouds,52.62
Nong Khaem,1741946400,13.7153,100.3792,308.12,313.75,1008,50,42,5.48,169,Clouds,scattered clouds,16.3
Din Daeng,1742227200,13.7663,100.5562,302.99,307.8,1012,70,8,5.23,187,Clear,clear sky,29.52
Sathon,1741932000,13.7211,100.5289,307.53,312.75,1010,51,60,5.07,186,Clouds,broken clouds,28.3
Chatuchak,1742385600,13.8166,100.5557,307.25,309.86,1012,44,20,3.09,80,Clouds,few clouds,42.88
Chom Thong,1741842000,13.6853,100.4674,306.23,310.51,1010,53,91,4.67,183,Clouds,overcast clouds,15.6
Chom Thong,1742389200,13.6853,100.4674,304.34,305.13,1014,45,100,5.21,93,Clouds,overcast clouds,68.11
Ratchathewi,1741971600,13.7547,100.5342,302.1,305.77,1010,70,46,5.52,183,Clouds,scattered clouds,38.29
Lat Phrao,1742151600,13.8078,100.5701,302.59,307.96,1008,75,20,3.09,160,Clouds,few clouds,88.94
Lat Phrao,1742155200,13.8078,100.5701,302.59,307.96,1008,75,20,3.09,160,Clouds,few clouds,91.2
Khan Na Yao,1741798800,13.8159,100.6669,302.3,306.8,1009,73,20,6.17,200,Clouds,few clouds,34.8
Khan Na Yao,1741802400,13.8159,100.6669,302.13,306.6,1009,74,20,5.14,200,Clouds,few clouds,36.31
Khan Na Yao,1741834800,13.8159,100.6669,306.0,313.0,1011,81,20,3.6,120,Clouds,few clouds,66.7
Saphan Sung,1742212800,13.761,100.6726,305.96,312.96,1009,71,20,5.66,180,Clouds,few clouds,55.04
Khlong Sam Wa,1741816800,13.8647,100.7351,302.13,305.65,1008,69,20,4.63,200,Clouds,few clouds,22.93
Dusit,1742198400,13.7842,100.5117,307.85,314.29,1008,53,100,5.49,192,Clouds,overcast clouds,44.36
Bang Kapi,1742094000,13.7554,100.6309,307.04,314.04,1012,61,94,3.61,190,Clouds,overcast clouds,97.59
Phra Khanong,1742022000,13.7088,100.6022,308.61,315.61,1009,52,52,5.68,185,Clouds,broken clouds,61.28
Phra Khanong,1742378400,13.7088,100.6022,306.4,307.33,1010,40,24,3.97,102,Clouds,few clouds,48.14
Min Buri,1741802400,13.8053,100.755,302.13,306.6,1009,74,20,5.14,200,Clouds,few clouds,16.94
Yannawa,1742331600,13.6896,100.5369,302.4,303.69,1012,54,66,4.44,83,Clouds,broken clouds,108.93
Thon Buri,1742230800,13.7229,100.4907,304.21,310.02,1012,67,9,4.8,193,Clear,clear sky,28.53
Bangkok Yai,1742245200,13.7314,100.4806,301.13,304.32,1010,74,27,2.77,181,Clouds,scattered clouds,56.36
Khlong San,1741842000,13.7348,100.5042,306.42,310.92,1010,53,94,4.53,184,Rain,light rain,35.65
Khlong San,1742043600,13.7348,100.5042,303.99,308.93,1010,65,16,4.42,173,Clouds,few clouds,39.89
Khlong San,1742245200,13.7348,100.5042,301.1,304.26,1010,74,26,2.72,182,Clouds,scattered clouds,56.36
Khlong San,1742382000,13.7348,100.5042,307.04,309.18,1010,43,35,3.75,94,Clouds,scattered clouds,68.41
Bang Khun Thian,1742295600,13.6703,100.4578,309.26,315.68,1008,48,59,3.44,236,Clouds,broken clouds,43.04
Phasi Charoen,1742241600,13.7214,100.4357,301.13,304.32,1010,74,36,2.87,181,Clouds,scattered clouds,43.06
Phasi Charoen,1742248800,13.7214,100.4357,301.13,304.46,1010,75,40,2.45,174,Clouds,scattered clouds,76.02
Nong Khaem,1741874400,13.7153,100.3792,305.9,312.9,1010,70,87,6.13,182,Rain,light rain,24.12
Nong Khaem,1742259600,13.7153,100.3792,304.26,309.02,1013,63,94,2.66,152,Clouds,overcast clouds,39.77
Rat Burana,1741842000,13.6865,100.4925,306.23,310.51,1010,53,91,4.67,183,Clouds,overcast clouds,15.6
Bueng Kum,1741960800,13.7895,100.6558,302.13,306.6,1011,74,20,5.14,190,Clouds,few clouds,47.78
Sathon,1742133600,13.7211,100.5289,303.73,309.1,1010,68,22,4.52,149,Clouds,few clouds,80.38
Bang Sue,1742004000,13.8009,100.5297,302.25,304.51,1012,61,33,4.15,183,Clouds,scattered clouds,68.51
Chatuchak,1741867200,13.8166,100.5557,306.07,313.07,1007,68,85,6.2,184,Rain,light rain,43.34
Prawet,1741842000,13.7196,100.6698,305.41,312.41,1010,80,40,5.66,130,Thunderstorm,thunderstorm with light rain,35.65
Khlong Toei,1741935600,13.7126,100.5582,308.65,314.62,1009,49,78,5.35,186,Clouds,broken clouds,25.4
Suan Luang,1742187600,13.7212,100.6406,308.67,314.67,1011,49,11,4.29,167,Clouds,few clouds,32.39
Chom Thong,1742385600,13.6853,100.4674,305.67,307.03,1012,44,47,3.92,101,Clouds,scattered clouds,67.2
Ratchathewi,1742101200,13.7547,100.5342,308.79,315.79,1010,53,81,4.23,180,Clouds,broken clouds,28.75
Ratchathewi,1742230800,13.7547,100.5342,302.09,305.93,1012,71,9,4.74,194,Clear,clear sky,28.53
Wang Thonglang,1741888800,13.7889,100.612,301.69,304.9,1010,70,6,4.19,196,Clear,clear sky,51.6
Khlong Sam Wa,1742216400,13.8647,100.7351,303.13,309.14,1010,74,20,6.17,200,Clouds,few clouds,61.15
Khlong Sam Wa,1742220000,13.8647,100.7351,303.13,309.14,1011,74,40,6.17,190,Clouds,scattered clouds,80.7
Phra Nakhon,1742065200,13.7563,100.5018,301.2,304.62,1009,75,100,4.53,192,Clouds,overcast clouds,31.22
Bang Khen,1742025600,13.8644,100.5843,309.01,316.01,1008,51,40,3.6,250,Clouds,scattered clouds,64.6
Bang Kapi,1742234400,13.7554,100.6309,302.09,305.93,1011,71,9,3.44,195,Clear,clear sky,61.88
